Date,Gold Rate (22KT),GRT Rate (approx)
2025-04-13 14:30:18,8810,8790
2025-04-14 14:30:18,8795,8795
2025-04-15 14:30:18,8760,8760
2025-04-16 14:30:18,8855,8855
2025-04-17 14:30:18,8960,8960
2025-04-18 14:30:18,8985,8985
2025-04-19 14:30:18,8985,8985
2025-04-20 14:30:18,8985,8985
2025-04-21 14:30:18,9055,9055
2025-04-22 14:30:18,9330,9330
2025-04-23 14:30:18,9055,9055
2025-04-24 14:30:18,9045,9045
2025-04-25 14:30:18,9045,9045
2025-04-26 14:30:18,9045,9045
2025-04-27 14:30:18,9045,9045
2025-04-28 14:30:18,8980,8980
2025-04-29 14:30:18,8990,8990
2025-04-30 14:30:18,8990,8990
2025-05-01 14:30:18,8815,8815
2025-05-02 14:30:18,8795,8795
2025-05-03 14:30:18,8795,8795
2025-05-04 14:30:18,8795,8795
2025-05-05 14:30:18,8815,8815
2025-05-06 14:30:18,9065,9065
2025-05-07 14:30:18,9115,9115
2025-05-08 14:30:18,9025,9025
2025-05-09 14:30:18,9055,9055
2025-05-10 14:30:18,9085,9085
2025-05-11 14:30:18,9128,9045
2025-05-12 14:30:18,8790,8750
2025-05-13 11:34:57,8924,8855
2025-05-14 07:37:52,8863,8805
2025-05-15 07:37:39,8636,8610
2025-05-16 07:37:45,8815,8720
2025-05-17 07:35:16,8788,8708
2025-05-18 07:36:17,8788,8708
2025-05-19 07:38:02,8859,8755
2025-05-20 07:38:10,8831,8710
2025-05-21 07:37:55,9098,8930
2025-05-22 07:37:31,9154,8975
2025-05-23 07:37:49,9146,8940
2025-05-24 07:35:36,9172,8990
2025-05-25 07:37:47,9172,8990
2025-05-26 07:51:07,9089,8950
2025-05-27 07:38:06,9066,8935
2025-05-28 07:38:00,9103,8935
2025-05-29 07:37:53,8994,8895
2025-05-30 07:37:08,9046,8920
2025-05-31 07:36:20,9043,8920
2025-06-01 07:37:14,9043,8920
2025-06-02 07:39:27,9207,9060
2025-06-03 07:39:31,9207,9080
2025-06-04 07:38:58,9279,9090
2025-06-05 07:37:59,9289,9130
2025-06-06 07:37:33,9247,9130
2025-06-07 07:35:38,9119,8980
2025-06-08 07:35:36,9119,8980
2025-06-09 07:39:08,9128,8955
2025-06-10 07:38:31,9151,8945
2025-06-11 07:38:41,9159,9020
2025-06-12 07:38:16,9211,9100
